R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Nasrat Haqparast;Landon Quinones;0;0;171 of 377;148 of 354;45%;41%;172 of 378;152 of 359;0 of 5;0 of 0;0%;---;0;0;0;0;0:21;0:41;114 of 304;79 of 273;57 of 73;37 of 46;0 of 0;32 of 35;161 of 361;137 of 340;10 of 16;11 of 14;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 09, 2023;Sydney, New South Wales, Australia;Lightweight Bout;Nasrat Haqparast
Kevin Jousset;Kiefer Crosbie;0;0;29 of 58;39 of 59;50%;66%;39 of 69;45 of 66;1 of 1;0 of 0;100%;---;1;0;0;0;0:45;0:00;18 of 44;20 of 37;4 of 5;9 of 12;7 of 9;10 of 10;25 of 54;36 of 52;4 of 4;3 of 7;0 of 0;0 of 0;Submission;1;4:49;3 Rnd (5-5-5);Jim Perdios;September 09, 2023;Sydney, New South Wales, Australia;Welterweight Bout;Kevin Jousset
Josh Emmett;Bryce Mitchell;1;0;2 of 10;0 of 3;20%;0%;2 of 10;0 of 3;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;1 of 4;0 of 1;1 of 5;0 of 0;0 of 1;0 of 2;2 of 10;0 of 3;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;1:57;3 Rnd (5-5-5);Herb Dean;December 16, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Josh Emmett
Irene Aldana;Karol Rosa;0;0;145 of 308;204 of 350;47%;58%;145 of 308;204 of 350;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:00;122 of 276;103 of 237;20 of 28;6 of 11;3 of 4;95 of 102;145 of 308;204 of 349;0 of 0;0 of 1;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;December 16, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Irene Aldana
Shavkat Rakhmonov;Stephen Thompson;0;0;28 of 36;16 of 25;77%;64%;73 of 88;26 of 37;1 of 5;0 of 0;20%;---;2;0;0;0;7:45;0:00;24 of 31;6 of 15;4 of 5;7 of 7;0 of 0;3 of 3;5 of 8;13 of 22;10 of 15;1 of 1;13 of 13;2 of 2;Submission;2;4:56;3 Rnd (5-5-5);Jason Herzog;December 16, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Shavkat Rakhmonov
Tony Ferguson;Paddy Pimblett;0;1;62 of 105;106 of 165;59%;64%;90 of 134;151 of 217;0 of 0;1 of 4;---;25%;0;0;0;0;0:00;8:53;35 of 66;73 of 127;23 of 35;13 of 17;4 of 4;20 of 21;51 of 91;66 of 109;0 of 0;0 of 0;11 of 14;40 of 56;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;December 16, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Paddy Pimblett
Alexandre Pantoja;Brandon Royval;0;0;95 of 156;111 of 204;60%;54%;126 of 195;281 of 390;8 of 14;0 of 1;57%;0%;1;0;0;2;15:51;0:47;49 of 101;102 of 193;22 of 30;7 of 9;24 of 25;2 of 2;74 of 130;91 of 177;5 of 6;5 of 6;16 of 20;15 of 21;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Marc Goddard;December 16, 2023;Las Vegas, Nevada, USA;UFC Flyweight Title Bout;Alexandre Pantoja
Cody Garbrandt;Brian Kelleher;1;0;20 of 41;17 of 25;48%;68%;21 of 42;21 of 29;0 of 0;0 of 1;---;0%;0;0;0;0;0:19;0:36;16 of 37;9 of 13;2 of 2;1 of 3;2 of 2;7 of 9;16 of 35;17 of 24;4 of 6;0 of 1;0 of 0;0 of 0;KO/TKO;1;3:42;3 Rnd (5-5-5);Marc Goddard;December 16, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Cody Garbrandt
Leon Edwards;Colby Covington;0;0;57 of 108;44 of 126;52%;34%;65 of 116;109 of 194;2 of 3;2 of 10;66%;20%;2;0;1;0;1:27;5:04;21 of 62;20 of 86;14 of 21;7 of 12;22 of 25;17 of 28;56 of 107;44 of 125;0 of 0;0 of 1;1 of 1;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;December 16, 2023;Las Vegas, Nevada, USA;UFC Welterweight Title Bout;Leon Edwards
Alonzo Menifield;Dustin Jacoby;1;0;68 of 117;93 of 150;58%;62%;95 of 145;113 of 171;1 of 2;0 of 0;50%;---;0;0;0;0;2:03;2:08;58 of 104;69 of 122;2 of 4;15 of 18;8 of 9;9 of 10;51 of 94;78 of 135;14 of 20;15 of 15;3 of 3;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;December 16, 2023;Las Vegas, Nevada, USA;Light Heavyweight Bout;Alonzo Menifield
Andre Fili;Lucas Almeida;1;0;20 of 36;10 of 25;55%;40%;25 of 42;10 of 25;0 of 0;0 of 0;---;---;0;0;0;0;0:15;0:00;16 of 29;1 of 11;3 of 6;0 of 1;1 of 1;9 of 13;8 of 21;10 of 25;0 of 0;0 of 0;12 of 15;0 of 0;KO/TKO;1;3:32;3 Rnd (5-5-5);Jason Herzog;December 16, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Andre Fili
Casey O'Neill;Ariane Lipski;0;0;31 of 74;64 of 127;41%;50%;32 of 75;86 of 152;0 of 2;1 of 1;0%;100%;0;1;0;0;0:20;0:58;17 of 57;45 of 106;3 of 3;16 of 18;11 of 14;3 of 3;29 of 72;37 of 95;2 of 2;9 of 11;0 of 0;18 of 21;Submission;2;1:18;3 Rnd (5-5-5);Mark Smith;December 16, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Ariane Lipski
Martin Buday;Shamil Gaziev;0;0;8 of 20;49 of 98;40%;50%;13 of 26;60 of 114;0 of 2;0 of 0;0%;---;0;0;0;0;0:20;2:18;8 of 19;35 of 79;0 of 1;14 of 19;0 of 0;0 of 0;8 of 17;35 of 73;0 of 3;5 of 10;0 of 0;9 of 15;KO/TKO;2;0:56;3 Rnd (5-5-5);Mark Smith;December 16, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Shamil Gaziev
Tagir Ulanbekov;Cody Durden;1;0;24 of 41;32 of 43;58%;74%;45 of 63;55 of 67;2 of 2;0 of 0;100%;---;5;0;1;0;6:03;0:36;19 of 35;22 of 31;4 of 5;3 of 3;1 of 1;7 of 9;15 of 32;24 of 34;5 of 5;3 of 4;4 of 4;5 of 5;Submission;2;4:25;3 Rnd (5-5-5);Chris Tognoni;December 16, 2023;Las Vegas, Nevada, USA;Flyweight Bout;Tagir Ulanbekov
Song Yadong;Ricky Simon;2;0;105 of 228;60 of 139;46%;43%;110 of 234;64 of 144;0 of 0;2 of 9;---;22%;0;0;0;0;0:27;0:51;55 of 163;48 of 127;27 of 39;9 of 9;23 of 26;3 of 3;85 of 203;57 of 135;1 of 1;0 of 0;19 of 24;3 of 4;KO/TKO;5;1:10;5 Rnd (5-5-5-5-5);Herb Dean;April 29, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Song Yadong
Josh Quinlan;Trey Waters;0;0;50 of 128;104 of 203;39%;51%;50 of 128;106 of 205;1 of 8;1 of 2;12%;50%;0;0;0;0;0:54;0:27;26 of 102;93 of 189;5 of 7;6 of 9;19 of 19;5 of 5;46 of 124;102 of 201;2 of 2;1 of 1;2 of 2;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;April 29, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Trey Waters
Marcos Rogerio de Lima;Waldo Cortes-Acosta;0;0;59 of 76;82 of 150;77%;54%;76 of 95;88 of 156;3 of 7;0 of 1;42%;0%;0;0;0;0;5:01;0:34;20 of 31;54 of 116;11 of 15;18 of 23;28 of 30;10 of 11;56 of 72;79 of 146;2 of 2;3 of 3;1 of 2;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 29, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Marcos Rogerio de Lima
Caio Borralho;Michal Oleksiejczuk;0;0;34 of 55;30 of 65;61%;46%;52 of 74;30 of 65;3 of 6;0 of 1;50%;0%;1;0;0;0;2:39;0:13;19 of 37;13 of 44;10 of 13;17 of 21;5 of 5;0 of 0;18 of 37;26 of 61;5 of 7;4 of 4;11 of 11;0 of 0;Submission;2;2:49;3 Rnd (5-5-5);Jason Herzog;April 29, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Caio Borralho
Julian Erosa;Fernando Padilla;0;1;15 of 24;20 of 29;62%;68%;15 of 24;20 of 29;0 of 1;0 of 0;0%;---;0;0;0;0;0:00;0:02;9 of 18;17 of 25;1 of 1;2 of 3;5 of 5;1 of 1;15 of 24;19 of 28;0 of 0;0 of 0;0 of 0;1 of 1;KO/TKO;1;1:41;3 Rnd (5-5-5);Chris Tognoni;April 29, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Fernando Padilla
Cody Durden;Charles Johnson;0;0;56 of 99;52 of 101;56%;51%;80 of 128;60 of 109;11 of 18;0 of 0;61%;---;0;1;0;0;9:33;0:08;39 of 80;30 of 77;9 of 10;19 of 21;8 of 9;3 of 3;46 of 89;46 of 91;3 of 3;5 of 9;7 of 7;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;April 29, 2023;Las Vegas, Nevada, USA;Flyweight Bout;Cody Durden
Rodolfo Vieira;Cody Brundage;0;1;10 of 15;20 of 29;66%;68%;30 of 37;41 of 51;1 of 7;0 of 0;14%;---;2;1;0;0;4:19;1:04;8 of 12;17 of 26;2 of 2;1 of 1;0 of 1;2 of 2;1 of 5;10 of 18;2 of 2;0 of 0;7 of 8;10 of 11;Submission;2;1:28;3 Rnd (5-5-5);Mark Smith;April 29, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Rodolfo Vieira
Martin Buday;Jake Collier;0;0;98 of 177;94 of 207;55%;45%;145 of 229;107 of 226;0 of 0;0 of 1;---;0%;0;0;0;0;1:45;4:31;66 of 142;63 of 175;24 of 27;22 of 23;8 of 8;9 of 9;72 of 143;77 of 185;19 of 27;15 of 17;7 of 7;2 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;April 29, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Martin Buday
Stephanie Egger;Irina Alekseeva;0;0;9 of 24;18 of 44;37%;40%;9 of 24;18 of 44;0 of 0;0 of 1;---;0%;0;1;0;0;0:00;0:00;3 of 17;7 of 31;0 of 0;7 of 8;6 of 7;4 of 5;9 of 24;17 of 43;0 of 0;1 of 1;0 of 0;0 of 0;Submission;1;2:11;3 Rnd (5-5-5);Jason Herzog;April 29, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Irina Alekseeva
Journey Newson;Marcus McGhee;0;1;13 of 46;25 of 53;28%;47%;13 of 46;25 of 54;0 of 6;0 of 0;0%;---;0;1;0;0;1:03;0:31;6 of 34;14 of 39;4 of 7;9 of 11;3 of 5;2 of 3;12 of 45;21 of 47;1 of 1;3 of 4;0 of 0;1 of 2;Submission;2;2:03;3 Rnd (5-5-5);Mark Smith;April 29, 2023;Las Vegas, Nevada, USA;Catch Weight Bout;Marcus McGhee
Hailey Cowan;Jamey-Lyn Horth;0;0;63 of 150;76 of 104;42%;73%;85 of 173;99 of 128;2 of 8;0 of 1;25%;0%;0;0;0;0;4:50;1:07;38 of 111;37 of 59;21 of 34;30 of 33;4 of 5;9 of 12;43 of 126;46 of 74;16 of 20;30 of 30;4 of 4;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;April 29, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Jamey-Lyn Horth
Ottman Azaitar;Francisco Prado;0;1;14 of 33;38 of 57;42%;66%;16 of 36;42 of 61;0 of 0;0 of 3;---;0%;0;0;0;0;0:00;0:49;6 of 20;31 of 46;7 of 11;2 of 6;1 of 2;5 of 5;12 of 28;17 of 30;2 of 5;1 of 1;0 of 0;20 of 26;KO/TKO;1;4:05;3 Rnd (5-5-5);Chris Tognoni;July 15, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Francisco Prado
Albert Duraev;JunYong Park;0;1;31 of 77;50 of 96;40%;52%;35 of 83;77 of 138;1 of 2;0 of 1;50%;0%;0;3;0;0;1:14;1:59;18 of 57;41 of 85;7 of 8;4 of 5;6 of 12;5 of 6;31 of 76;47 of 93;0 of 1;2 of 2;0 of 0;1 of 1;Submission;2;4:45;3 Rnd (5-5-5);Mark Smith;July 15, 2023;Las Vegas, Nevada, USA;Middleweight Bout;JunYong Park
Norma Dumont;Chelsea Chandler;0;0;47 of 76;22 of 61;61%;36%;98 of 141;72 of 124;3 of 3;1 of 3;100%;33%;0;0;0;0;8:58;2:30;30 of 59;14 of 51;12 of 12;6 of 7;5 of 5;2 of 3;28 of 49;13 of 44;10 of 12;9 of 17;9 of 15;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;July 15, 2023;Las Vegas, Nevada, USA;Women's Featherweight Bout;Norma Dumont
Nazim Sadykhov;Terrance McKinney;0;0;8 of 15;6 of 14;53%;42%;20 of 27;21 of 34;0 of 0;2 of 5;---;40%;1;0;1;0;0:55;4:16;6 of 11;3 of 10;0 of 1;3 of 3;2 of 3;0 of 1;6 of 13;4 of 12;0 of 0;2 of 2;2 of 2;0 of 0;Submission;2;1:07;3 Rnd (5-5-5);Keith Peterson;July 15, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Nazim Sadykhov
Jack Della Maddalena;Bassil Hafez;0;0;83 of 137;32 of 124;60%;25%;149 of 212;48 of 141;1 of 2;3 of 20;50%;15%;0;0;0;1;1:19;6:48;55 of 104;29 of 117;27 of 32;2 of 6;1 of 1;1 of 1;68 of 119;28 of 118;14 of 17;4 of 6;1 of 1;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;July 15, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Jack Della Maddalena
Holly Holm;Mayra Bueno Silva;0;0;27 of 39;20 of 37;69%;54%;50 of 70;31 of 50;0 of 1;0 of 0;0%;---;0;1;0;0;3:05;0:00;15 of 24;9 of 21;10 of 12;7 of 10;2 of 3;4 of 6;21 of 31;13 of 28;6 of 8;7 of 9;0 of 0;0 of 0;Overturned;2;0:38;5 Rnd (5-5-5-5-5);Keith Peterson;July 15, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;
Viktoriia Dudakova;Istela Nunes;0;0;3 of 11;2 of 6;27%;33%;3 of 11;2 of 6;1 of 1;0 of 0;100%;---;0;0;0;0;0:06;0:00;1 of 7;1 of 4;2 of 4;1 of 2;0 of 0;0 of 0;2 of 10;2 of 6;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;0:34;3 Rnd (5-5-5);Chris Tognoni;July 15, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Viktoriia Dudakova
Tucker Lutz;Melsik Baghdasaryan;0;0;36 of 109;64 of 108;33%;59%;41 of 115;74 of 122;3 of 9;0 of 0;33%;---;0;0;0;0;6:19;0:42;14 of 71;32 of 66;16 of 28;30 of 40;6 of 10;2 of 2;34 of 105;50 of 88;2 of 4;11 of 16;0 of 0;3 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;July 15, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Melsik Baghdasaryan
Evan Elder;Genaro Valdez;1;1;96 of 195;64 of 236;49%;27%;96 of 195;65 of 237;1 of 1;0 of 0;100%;---;1;0;0;0;0:06;0:00;61 of 155;51 of 210;15 of 19;4 of 6;20 of 21;9 of 20;96 of 193;62 of 231;0 of 1;2 of 5;0 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;July 15, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Evan Elder
Tyson Nam;Azat Maksum;0;0;81 of 213;46 of 189;38%;24%;98 of 242;46 of 190;0 of 0;2 of 11;---;18%;0;0;0;0;0:30;0:22;27 of 149;33 of 167;19 of 28;12 of 21;35 of 36;1 of 1;79 of 209;46 of 183;2 of 4;0 of 6;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;July 15, 2023;Las Vegas, Nevada, USA;Flyweight Bout;Azat Maksum
Alexander Munoz;Carl Deaton;1;0;44 of 111;37 of 108;39%;34%;53 of 120;39 of 112;3 of 7;0 of 2;42%;0%;0;0;0;0;3:54;0:00;37 of 99;29 of 97;6 of 11;8 of 11;1 of 1;0 of 0;27 of 87;36 of 106;2 of 3;1 of 2;15 of 21;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;July 15, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Alexander Munoz
Ashlee Evans-Smith;Ailin Perez;0;0;12 of 47;60 of 104;25%;57%;13 of 49;127 of 190;0 of 1;10 of 15;0%;66%;0;0;0;0;0:08;11:36;6 of 40;50 of 87;2 of 3;7 of 11;4 of 4;3 of 6;7 of 40;12 of 32;5 of 7;14 of 23;0 of 0;34 of 49;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;July 15, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Ailin Perez
Austin Lingo;Melquizael Costa;0;0;39 of 139;100 of 220;28%;45%;39 of 140;108 of 236;0 of 0;3 of 8;---;37%;0;1;0;0;0:00;2:44;24 of 114;39 of 133;11 of 17;48 of 73;4 of 8;13 of 14;39 of 139;93 of 209;0 of 0;6 of 9;0 of 0;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;July 15, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Melquizael Costa
Matt Frevola;Benoit Saint Denis;0;1;5 of 9;6 of 11;55%;54%;7 of 12;10 of 15;2 of 2;0 of 0;100%;---;0;0;0;1;0:25;0:19;2 of 6;3 of 7;3 of 3;1 of 2;0 of 0;2 of 2;4 of 8;4 of 9;1 of 1;0 of 0;0 of 0;2 of 2;KO/TKO;1;1:31;3 Rnd (5-5-5);Mike Beltran;November 11, 2023;New York City, New York, USA;Lightweight Bout;Benoit Saint Denis
Sergei Pavlovich;Tom Aspinall;0;1;1 of 7;10 of 14;14%;71%;1 of 7;10 of 14;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;1 of 7;7 of 10;0 of 0;0 of 1;0 of 0;3 of 3;1 of 7;7 of 11;0 of 0;0 of 0;0 of 0;3 of 3;KO/TKO;1;1:09;5 Rnd (5-5-5-5-5);Dan Miragliotta;November 11, 2023;New York City, New York, USA;UFC Interim Heavyweight Title Bout;Tom Aspinall
Jessica Andrade;Mackenzie Dern;4;0;53 of 107;49 of 114;49%;42%;53 of 107;50 of 115;0 of 0;0 of 4;---;0%;0;0;0;0;0:13;0:00;27 of 76;38 of 100;7 of 9;6 of 9;19 of 22;5 of 5;43 of 90;47 of 109;6 of 12;2 of 5;4 of 5;0 of 0;KO/TKO;2;3:15;3 Rnd (5-5-5);Keith Peterson;November 11, 2023;New York City, New York, USA;Women's Strawweight Bout;Jessica Andrade
Mateusz Rebecki;Roosevelt Roberts;0;0;10 of 16;2 of 7;62%;28%;28 of 38;6 of 12;2 of 2;0 of 0;100%;---;1;0;0;1;2:14;0:13;7 of 11;1 of 5;0 of 1;0 of 1;3 of 4;1 of 1;3 of 9;2 of 7;0 of 0;0 of 0;7 of 7;0 of 0;Submission;1;3:08;3 Rnd (5-5-5);Mike Beltran;November 11, 2023;New York City, New York, USA;Lightweight Bout;Mateusz Rebecki
Tabatha Ricci;Loopy Godinez;0;0;84 of 224;98 of 221;37%;44%;91 of 232;101 of 225;0 of 6;0 of 1;0%;0%;0;0;0;0;1:22;0:03;68 of 197;81 of 200;8 of 11;15 of 19;8 of 16;2 of 2;78 of 218;85 of 207;4 of 4;11 of 12;2 of 2;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;November 11, 2023;New York City, New York, USA;Women's Strawweight Bout;Loopy Godinez
Diego Lopes;Pat Sabatini;1;0;13 of 18;7 of 12;72%;58%;13 of 18;10 of 16;0 of 1;0 of 2;0%;0%;0;0;0;0;0:02;0:00;11 of 15;3 of 7;2 of 2;3 of 4;0 of 1;1 of 1;4 of 8;5 of 10;3 of 3;1 of 1;6 of 7;1 of 1;KO/TKO;1;1:30;3 Rnd (5-5-5);Keith Peterson;November 11, 2023;New York City, New York, USA;Featherweight Bout;Diego Lopes
Jiri Prochazka;Alex Pereira;0;1;30 of 53;38 of 61;56%;62%;44 of 70;49 of 72;1 of 3;0 of 0;33%;---;0;1;0;0;2:45;0:08;18 of 37;21 of 38;7 of 10;5 of 8;5 of 6;12 of 15;26 of 49;22 of 43;2 of 2;4 of 4;2 of 2;12 of 14;KO/TKO;2;4:08;5 Rnd (5-5-5-5-5);Marc Goddard;November 11, 2023;New York City, New York, USA;UFC Light Heavyweight Title Bout;Alex Pereira
Nazim Sadykhov;Viacheslav Borshchev;1;0;91 of 207;143 of 241;43%;59%;109 of 228;144 of 242;4 of 7;0 of 0;57%;---;0;0;0;0;3:32;0:10;65 of 172;87 of 178;19 of 26;30 of 34;7 of 9;26 of 29;66 of 175;141 of 239;5 of 8;2 of 2;20 of 24;0 of 0;Decision - Majority;3;5:00;3 Rnd (5-5-5);Keith Peterson;November 11, 2023;New York City, New York, USA;Lightweight Bout;
John Castaneda;Kyung Ho Kang;0;0;111 of 179;88 of 202;62%;43%;119 of 187;88 of 203;3 of 8;0 of 0;37%;---;0;0;0;0;2:18;0:00;47 of 103;59 of 170;30 of 39;17 of 19;34 of 37;12 of 13;109 of 176;82 of 194;2 of 3;6 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;November 11, 2023;New York City, New York, USA;Catch Weight Bout;John Castaneda
Steve Erceg;Alessandro Costa;0;0;74 of 125;54 of 97;59%;55%;104 of 162;85 of 129;1 of 8;1 of 6;12%;16%;1;0;1;0;6:29;1:14;41 of 87;31 of 70;25 of 30;14 of 17;8 of 8;9 of 10;43 of 91;35 of 76;26 of 28;19 of 21;5 of 6;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;November 11, 2023;New York City, New York, USA;Flyweight Bout;Steve Erceg
Dennis Buzukja;Jamall Emmers;0;1;3 of 7;14 of 20;42%;70%;3 of 7;14 of 20;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;0 of 4;8 of 12;1 of 1;2 of 4;2 of 2;4 of 4;3 of 7;10 of 14;0 of 0;0 of 0;0 of 0;4 of 6;KO/TKO;1;0:49;3 Rnd (5-5-5);Keith Peterson;November 11, 2023;New York City, New York, USA;Featherweight Bout;Jamall Emmers
Jared Gordon;Mark Madsen;1;0;36 of 66;35 of 57;54%;61%;54 of 87;46 of 69;0 of 0;0 of 0;---;---;0;0;0;0;0:19;1:04;27 of 57;23 of 44;5 of 5;12 of 13;4 of 4;0 of 0;22 of 51;16 of 37;10 of 11;19 of 20;4 of 4;0 of 0;KO/TKO;1;4:42;3 Rnd (5-5-5);Marc Goddard;November 11, 2023;New York City, New York, USA;Lightweight Bout;Jared Gordon
Joshua Van;Kevin Borjas;0;0;156 of 300;75 of 197;52%;38%;165 of 311;78 of 200;2 of 4;0 of 3;50%;0%;0;0;0;1;1:03;0:21;92 of 227;54 of 170;49 of 57;9 of 12;15 of 16;12 of 15;153 of 295;73 of 193;3 of 5;1 of 2;0 of 0;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;November 11, 2023;New York City, New York, USA;Flyweight Bout;Joshua Van
Bo Nickal;Val Woodburn;1;0;7 of 10;2 of 9;70%;22%;7 of 10;2 of 9;0 of 1;0 of 0;0%;---;0;0;0;0;0:02;0:00;7 of 10;2 of 9;0 of 0;0 of 0;0 of 0;0 of 0;6 of 9;2 of 9;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;0:38;3 Rnd (5-5-5);Chris Tognoni;July 08, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Bo Nickal
Robert Whittaker;Dricus Du Plessis;0;1;31 of 70;62 of 104;44%;59%;32 of 71;74 of 118;1 of 1;1 of 1;100%;100%;0;0;0;0;0:23;0:57;23 of 59;38 of 77;2 of 4;11 of 13;6 of 7;13 of 14;29 of 68;41 of 77;2 of 2;8 of 10;0 of 0;13 of 17;KO/TKO;2;2:23;3 Rnd (5-5-5);Marc Goddard;July 08, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Dricus Du Plessis
Alexander Volkanovski;Yair Rodriguez;0;0;66 of 97;40 of 80;68%;50%;149 of 198;57 of 103;7 of 12;0 of 0;58%;---;0;0;0;0;7:13;0:00;48 of 69;13 of 49;4 of 5;11 of 14;14 of 23;16 of 17;25 of 45;38 of 77;4 of 6;0 of 0;37 of 46;2 of 3;KO/TKO;3;4:19;5 Rnd (5-5-5-5-5);Herb Dean;July 08, 2023;Las Vegas, Nevada, USA;UFC Featherweight Title Bout;Alexander Volkanovski
Yazmin Jauregui;Denise Gomes;0;1;0 of 1;17 of 20;0%;85%;0 of 1;21 of 24;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:10;0 of 1;17 of 20;0 of 0;0 of 0;0 of 0;0 of 0;0 of 1;4 of 6;0 of 0;0 of 0;0 of 0;13 of 14;KO/TKO;1;0:20;3 Rnd (5-5-5);Jason Herzog;July 08, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Denise Gomes
Jalin Turner;Dan Hooker;0;1;100 of 177;125 of 197;56%;63%;113 of 191;172 of 247;1 of 3;0 of 2;33%;0%;0;1;0;0;0:18;3:09;63 of 128;77 of 139;30 of 37;25 of 32;7 of 12;23 of 26;78 of 152;100 of 157;18 of 21;19 of 31;4 of 4;6 of 9;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;July 08, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Dan Hooker
Robbie Lawler;Niko Price;1;0;8 of 10;2 of 7;80%;28%;8 of 10;2 of 7;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;8 of 10;0 of 3;0 of 0;1 of 2;0 of 0;1 of 2;4 of 6;1 of 6;4 of 4;1 of 1;0 of 0;0 of 0;KO/TKO;1;0:38;3 Rnd (5-5-5);Marc Goddard;July 08, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Robbie Lawler
Brandon Moreno;Alexandre Pantoja;0;1;147 of 245;129 of 274;60%;47%;167 of 265;161 of 323;2 of 4;6 of 11;50%;54%;0;0;3;0;4:01;8:26;133 of 231;106 of 247;13 of 13;20 of 22;1 of 1;3 of 5;128 of 220;104 of 239;12 of 14;13 of 21;7 of 11;12 of 14;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);Jason Herzog;July 08, 2023;Las Vegas, Nevada, USA;UFC Flyweight Title Bout;Alexandre Pantoja
