fighter,Weight Division,Gender,Image URL
Aliaskhab Khizriev,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/KHIZRIEV_ALIASKHAB_L_02-03.png?itok=oSz4LDZy
Alistair Overeem,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-09/OVEREEM_ALISTAIR_L_04-20.png?VersionId=bXdyWxqT3s9LgovyRhZf2AXfXWZG.zt5&itok=rsA2j5xc
Aljamain Sterling,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67275/profile-galery/fullbodyleft-picture/STERLING_ALJAMAIN_L.png?VersionId=aojVfCJ9UKcQjPOBXq1hras7CXyGaC31&itok=ioZTbkdy
Allan Nascimento,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NASCIMENTO_ALLAN_L_01-14.png?itok=tp6_5hmh
Allan Zuniga,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/ZUNIGA_ALLAN_R_0.png?VersionId=U4Abn_.xFMCfJPxEJL5JNabUnB_jJwgB&itok=YnpoHweo
Allen Berube,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Allen Crowder,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67280/profile-galery/fullbodyleft-picture/CROWDER_ALLEN_L.png?itok=XJdlCW-h
Alonzo Menifield,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/MENIFIELD_ALONZO_L_12-16.png?itok=k35lhV7i
Alptekin Ozkilic,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alptekin-Ozkilic_464480_LeftFullBodyImage.png?itok=nGE6hEY1
Alvaro Herrera Mendoza,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alvaro Herrera Mendoza,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alvin Robinson,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Amanda Cooper,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-11/COOPER_AMANDA_R.png?VersionId=ozz2G4DgImBh2j.SR4VWSWo_F7E3fUtv&itok=Wpv4QNCo
Amanda Lemos,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-04/8d2e2ccd-45be-44c4-a29f-14f59d6c5ed2%252FLEMOS_AMANDA_L_04-23.png?itok=lMJKWFYy
Amanda Lemos,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-04/8d2e2ccd-45be-44c4-a29f-14f59d6c5ed2%252FLEMOS_AMANDA_L_04-23.png?itok=lMJKWFYy
Amanda Nunes,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/NUNES_AMANDA_L_BELTX2_06-10.png?itok=8tM-g-Vq
Amanda Nunes,145,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/NUNES_AMANDA_L_BELTX2_06-10.png?itok=8tM-g-Vq
Amanda Ribas,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/RIBAS_AMANDA_L_06-24.png?itok=8p93nu11
Amanda Ribas,125,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/RIBAS_AMANDA_L_06-24.png?itok=8p93nu11
Amar Suloev,205,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Amar Suloev,185,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Amilcar Alves,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Amir Albazi,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ALBAZI_AMIR_L_06-03.png?itok=JaNXVxm3
Amir Albazi,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ALBAZI_AMIR_L_06-03.png?itok=JaNXVxm3
Amir Sadollah,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Amir-Sadollah_925_LeftFullBodyImage.png?itok=W6O6gpgv
Amir Sadollah,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Amir-Sadollah_925_LeftFullBodyImage.png?itok=W6O6gpgv
Anderson Dos Santos,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/DOS_SANTOS_ANDERSON_L_07-17.png?itok=l0DebhCS
Anderson Dos Santos,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/DOS_SANTOS_ANDERSON_L_07-17.png?itok=l0DebhCS
Anderson Silva,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Anderson_Silva/SILVA_ANDERSON_L.png?VersionId=oqn6CIQraQL7H1Maglm56oOzYSKBL0n0&itok=6x3ZzpM3
Anderson Silva,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Anderson_Silva/SILVA_ANDERSON_L.png?VersionId=oqn6CIQraQL7H1Maglm56oOzYSKBL0n0&itok=6x3ZzpM3
Andre Ewell,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/EWELL_ANDRE_L_07-24.png?itok=ciTBM7dW
